report_index,source_id,incident_type,incident_id,scenario_type,channel,language,district,actual_location,actual_urgency,timestamp
205,call_0242,flood,FLOOD_095,same_street_neighbors,voice,sinhala,Kandy,Katugastota,HIGH,2025-05-17T07:14:00+00:00
206,sms_0006,flood,FLOOD_002,mass_report,sms,romanized_sinhala,Colombo,Kaduwela,CRITICAL,2025-05-17T07:15:00+00:00
207,sms_0023,flood,FLOOD_005,mass_report,sms,sinhala,Kalutara,Kalutara,CRITICAL,2025-05-17T07:15:00+00:00
208,call_0029,flood,FLOOD_005,mass_report,voice,romanized_sinhala,Kalutara,Kalutara,CRITICAL,2025-05-17T07:15:00+00:00
209,call_0052,flood,FLOOD_010,adjacent_critical,voice,sinhala,Colombo,Dematagoda,CRITICAL,2025-05-17T07:15:00+00:00
210,call_0197,flood,FLOOD_073,location_unknown,voice,sinhala,Ratnapura,Pelmadulla,HIGH,2025-05-17T07:15:00+00:00
211,call_0147,flood,FLOOD_051,geographically_near,voice,tamil,Ratnapura,Pelmadulla,CRITICAL,2025-05-17T07:16:00+00:00
212,call_0190,flood,FLOOD_069,victim_address,voice,sinhala,Colombo,Battaramulla,HIGH,2025-05-17T07:16:00+00:00
213,sms_0038,flood,FLOOD_010,adjacent_critical,sms,sinhala,Colombo,Dematagoda,CRITICAL,2025-05-17T07:17:00+00:00
214,call_0082,flood,FLOOD_019,standard,voice,sinhala,Kandy,Peradeniya,HIGH,2025-05-17T07:17:00+00:00
215,sms_0171,flood,FLOOD_075,location_unknown,sms,sinhala,Gampaha,Negombo,HIGH,2025-05-17T07:17:00+00:00
216,sms_0187,flood,FLOOD_092,same_street_neighbors,sms,romanized_sinhala,Colombo,Wellampitiya,CRITICAL,
217,sms_0168,flood,FLOOD_073,location_unknown,sms,romanized_sinhala,Ratnapura,Pelmadulla,HIGH,
218,sms_0044,flood,FLOOD_013,standard,sms,romanized_tamil,Gampaha,Biyagama,HIGH,2025-05-17T07:19:00+00:00
219,call_0130,flood,FLOOD_044,conflicting_counts,voice,tamil,Colombo,Wellampitiya,HIGH,2025-05-17T07:20:00+00:00
220,call_0084,flood,FLOOD_019,standard,voice,romanized_sinhala,Kandy,Peradeniya,HIGH,2025-05-17T07:21:00+00:00
221,call_0063,flood,FLOOD_013,standard,voice,sinhala,Gampaha,Biyagama,HIGH,2025-05-17T07:22:00+00:00
222,call_0139,flood,FLOOD_048,geographically_near,voice,romanized_sinhala,Colombo,Kelaniya,HIGH,2025-05-17T07:22:00+00:00
223,call_0174,flood,FLOOD_061,cross_lingual_duplicate,voice,sinhala,Colombo,Battaramulla,HIGH,2025-05-17T07:22:00+00:00
224,sms_0160,flood,FLOOD_068,victim_address,sms,romanized_tamil,Gampaha,Negombo,CRITICAL,2025-05-17T07:22:00+00:00
225,sms_0161,flood,FLOOD_069,victim_address,sms,tamil,Colombo,Battaramulla,HIGH,2025-05-17T07:22:00+00:00
226,call_0191,flood,FLOOD_069,victim_address,voice,romanized_tamil,Colombo,Battaramulla,HIGH,2025-05-17T07:22:00+00:00
227,call_0217,flood,FLOOD_087,victim_panic,voice,romanized_tamil,Gampaha,Negombo,CRITICAL,2025-05-17T07:22:00+00:00
228,call_0038,flood,FLOOD_006,mass_report,voice,tamil,Kalutara,Panadura,CRITICAL,2025-05-17T07:23:00+00:00
229,sms_0024,flood,FLOOD_005,mass_report,sms,romanized_sinhala,Kalutara,Kalutara,CRITICAL,2025-05-17T07:24:00+00:00
230,call_0061,flood,FLOOD_013,standard,voice,sinhala,Gampaha,Biyagama,HIGH,2025-05-17T07:24:00+00:00
231,sms_0094,flood,FLOOD_042,conflicting_counts,sms,tamil,Kalutara,Kalutara,HIGH,2025-05-17T07:25:00+00:00
232,call_0140,flood,FLOOD_048,geographically_near,voice,sinhala,Colombo,Kelaniya,HIGH,2025-05-17T07:25:00+00:00
233,sms_0026,flood,FLOOD_005,mass_report,sms,tamil,Kalutara,Kalutara,CRITICAL,2025-05-17T07:26:00+00:00
234,call_0145,flood,FLOOD_050,geographically_near,voice,sinhala,Colombo,Wellampitiya,HIGH,2025-05-17T07:26:00+00:00
235,sms_0221,flood,NOISE_flood_470,noise,sms,sinhala,Gampaha,Kadana,LOW,
236,sms_0097,flood,FLOOD_042,conflicting_counts,sms,romanized_sinhala,Kalutara,Kalutara,HIGH,
237,sms_0127,flood,FLOOD_053,geographically_near,sms,romanized_sinhala,Gampaha,Kadana,CRITICAL,
238,call_0218,flood,FLOOD_087,victim_panic,voice,sinhala,Gampaha,Negombo,CRITICAL,2025-05-17T07:27:00+00:00
239,sms_0046,flood,FLOOD_013,standard,sms,romanized_sinhala,Gampaha,Biyagama,HIGH,2025-05-17T07:28:00+00:00
240,sms_0052,flood,FLOOD_016,standard,sms,romanized_sinhala,Gampaha,Gampaha_Town,HIGH,2025-05-17T07:28:00+00:00
241,sms_0060,flood,FLOOD_018,standard,sms,sinhala,Kalutara,Horana,HIGH,
242,sms_0120,flood,FLOOD_050,geographically_near,sms,sinhala,Colombo,Wellampitiya,HIGH,
243,sms_0122,flood,FLOOD_051,geographically_near,sms,romanized_tamil,Ratnapura,Pelmadulla,CRITICAL,
244,sms_0145,flood,FLOOD_061,cross_lingual_duplicate,sms,romanized_sinhala,Colombo,Battaramulla,HIGH,2025-05-17T07:28:00+00:00
245,sms_0095,flood,FLOOD_042,conflicting_counts,sms,romanized_sinhala,Kalutara,Kalutara,HIGH,2025-05-17T07:29:00+00:00
246,call_0141,flood,FLOOD_048,geographically_near,voice,tamil,Colombo,Kelaniya,HIGH,2025-05-17T07:29:00+00:00
247,call_0213,flood,FLOOD_083,victim_panic,voice,sinhala,Colombo,Mattakkuliya,HIGH,2025-05-17T07:29:00+00:00
248,call_0126,flood,FLOOD_042,conflicting_counts,voice,sinhala,Kalutara,Kalutara,HIGH,2025-05-17T07:30:00+00:00
249,sms_0134,flood,FLOOD_056,third_party,sms,tamil,Colombo,Kelaniya,MEDIUM,2025-05-17T07:30:00+00:00
250,call_0202,flood,FLOOD_075,location_unknown,voice,sinhala,Gampaha,Negombo,HIGH,2025-05-17T07:30:00+00:00
251,call_0077,flood,FLOOD_018,standard,voice,romanized_sinhala,Kalutara,Horana,HIGH,2025-05-17T07:31:00+00:00
252,call_0064,flood,FLOOD_013,standard,voice,romanized_tamil,Gampaha,Biyagama,HIGH,2025-05-17T07:32:00+00:00
253,call_0078,flood,FLOOD_018,standard,voice,tamil,Kalutara,Horana,HIGH,2025-05-17T07:32:00+00:00
254,sms_0133,flood,FLOOD_056,third_party,sms,sinhala,Colombo,Kelaniya,MEDIUM,2025-05-17T07:32:00+00:00
255,sms_0164,flood,FLOOD_071,location_unknown,sms,romanized_tamil,Gampaha,Biyagama,CRITICAL,2025-05-17T07:33:00+00:00
256,call_0007,flood,FLOOD_001,mass_report,voice,sinhala,Colombo,Kelaniya,CRITICAL,2025-05-17T07:34:00+00:00
257,call_0018,flood,FLOOD_004,mass_report,voice,romanized_tamil,Kandy,Kandy_City,CRITICAL,2025-05-17T07:34:00+00:00
258,sms_0119,flood,FLOOD_050,geographically_near,sms,sinhala,Colombo,Wellampitiya,HIGH,2025-05-17T07:34:00+00:00
259,call_0158,flood,FLOOD_056,third_party,voice,romanized_sinhala,Colombo,Kelaniya,MEDIUM,2025-05-17T07:34:00+00:00
260,sms_0106,flood,FLOOD_044,conflicting_counts,sms,tamil,Colombo,Wellampitiya,HIGH,
261,call_0149,flood,FLOOD_052,geographically_near,voice,sinhala,Ratnapura,Pelmadulla,CRITICAL,2025-05-17T07:35:00+00:00
262,call_0080,flood,FLOOD_018,standard,voice,romanized_sinhala,Kalutara,Horana,HIGH,2025-05-17T07:36:00+00:00
263,sms_0096,flood,FLOOD_042,conflicting_counts,sms,tamil,Kalutara,Kalutara,HIGH,2025-05-17T07:36:00+00:00
264,sms_0124,flood,FLOOD_053,geographically_near,sms,romanized_sinhala,Gampaha,Kadana,CRITICAL,2025-05-17T07:36:00+00:00
265,sms_0125,flood,FLOOD_053,geographically_near,sms,romanized_tamil,Gampaha,Kadana,CRITICAL,2025-05-17T07:36:00+00:00
266,call_0062,flood,FLOOD_013,standard,voice,romanized_sinhala,Gampaha,Biyagama,HIGH,2025-05-17T07:37:00+00:00
267,sms_0105,flood,FLOOD_044,conflicting_counts,sms,tamil,Colombo,Wellampitiya,HIGH,2025-05-17T07:37:00+00:00
268,call_0152,flood,FLOOD_052,geographically_near,voice,tamil,Ratnapura,Pelmadulla,CRITICAL,2025-05-17T07:37:00+00:00
269,sms_0126,flood,FLOOD_053,geographically_near,sms,romanized_tamil,Gampaha,Kadana,CRITICAL,
270,call_0177,flood,FLOOD_063,cross_lingual_duplicate,voice,tamil,Ratnapura,Balangoda,CRITICAL,2025-05-17T07:37:00+00:00
271,call_0019,flood,FLOOD_004,mass_report,voice,romanized_sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T07:38:00+00:00
272,call_0127,flood,FLOOD_042,conflicting_counts,voice,sinhala,Kalutara,Kalutara,HIGH,2025-05-17T07:38:00+00:00
273,call_0198,flood,FLOOD_073,location_unknown,voice,tamil,Ratnapura,Pelmadulla,HIGH,2025-05-17T07:38:00+00:00
274,call_0203,flood,FLOOD_075,location_unknown,voice,sinhala,Gampaha,Negombo,HIGH,2025-05-17T07:38:00+00:00
275,call_0159,flood,FLOOD_056,third_party,voice,romanized_tamil,Colombo,Kelaniya,MEDIUM,2025-05-17T07:39:00+00:00
276,sms_0018,flood,FLOOD_004,mass_report,sms,sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T07:40:00+00:00
277,call_0143,flood,FLOOD_049,geographically_near,voice,sinhala,Colombo,Wellampitiya,HIGH,2025-05-17T07:40:00+00:00
278,call_0039,flood,FLOOD_006,mass_report,voice,romanized_tamil,Kalutara,Panadura,CRITICAL,2025-05-17T07:41:00+00:00
279,call_0131,flood,FLOOD_044,conflicting_counts,voice,romanized_sinhala,Colombo,Wellampitiya,HIGH,2025-05-17T07:41:00+00:00
280,call_0153,flood,FLOOD_053,geographically_near,voice,sinhala,Gampaha,Kadana,CRITICAL,2025-05-17T07:41:00+00:00
281,call_0192,flood,FLOOD_070,victim_address,voice,romanized_sinhala,Ratnapura,Eheliyagoda,CRITICAL,2025-05-17T07:41:00+00:00
282,sms_0104,flood,FLOOD_044,conflicting_counts,sms,tamil,Colombo,Wellampitiya,HIGH,2025-05-17T07:43:00+00:00
283,sms_0116,flood,FLOOD_049,geographically_near,sms,tamil,Colombo,Wellampitiya,HIGH,
284,call_0144,flood,FLOOD_049,geographically_near,voice,romanized_sinhala,Colombo,Wellampitiya,HIGH,2025-05-17T07:43:00+00:00
285,call_0146,flood,FLOOD_050,geographically_near,voice,romanized_sinhala,Colombo,Wellampitiya,HIGH,2025-05-17T07:43:00+00:00
286,sms_0146,flood,FLOOD_062,cross_lingual_duplicate,sms,sinhala,Kandy,Kadugannawa,MEDIUM,2025-05-17T07:43:00+00:00
287,call_0020,flood,FLOOD_004,mass_report,voice,romanized_tamil,Kandy,Kandy_City,CRITICAL,2025-05-17T07:44:00+00:00
288,sms_0117,flood,FLOOD_049,geographically_near,sms,romanized_tamil,Colombo,Wellampitiya,HIGH,2025-05-17T07:44:00+00:00
289,sms_0173,flood,FLOOD_075,location_unknown,sms,sinhala,Gampaha,Negombo,HIGH,2025-05-17T07:45:00+00:00
290,call_0151,flood,FLOOD_052,geographically_near,voice,romanized_sinhala,Ratnapura,Pelmadulla,CRITICAL,2025-05-17T07:46:00+00:00
291,call_0176,flood,FLOOD_062,cross_lingual_duplicate,voice,romanized_tamil,Kandy,Kadugannawa,MEDIUM,2025-05-17T07:46:00+00:00
292,call_0148,flood,FLOOD_051,geographically_near,voice,sinhala,Ratnapura,Pelmadulla,CRITICAL,2025-05-17T07:47:00+00:00
293,sms_0123,flood,FLOOD_052,geographically_near,sms,romanized_sinhala,Ratnapura,Pelmadulla,CRITICAL,2025-05-17T07:47:00+00:00
294,sms_0100,flood,FLOOD_043,conflicting_counts,sms,tamil,Ratnapura,Pelmadulla,HIGH,2025-05-17T07:49:00+00:00
295,call_0193,flood,FLOOD_070,victim_address,voice,tamil,Ratnapura,Eheliyagoda,CRITICAL,2025-05-17T07:49:00+00:00
296,call_0195,flood,FLOOD_071,location_unknown,voice,tamil,Gampaha,Biyagama,CRITICAL,2025-05-17T07:49:00+00:00
297,call_0204,flood,FLOOD_076,minimal_message,voice,tamil,Ratnapura,Pelmadulla,LOW,2025-05-17T07:49:00+00:00
298,sms_0150,flood,FLOOD_063,cross_lingual_duplicate,sms,romanized_sinhala,Ratnapura,Balangoda,CRITICAL,
299,call_0150,flood,FLOOD_052,geographically_near,voice,tamil,Ratnapura,Pelmadulla,CRITICAL,2025-05-17T07:51:00+00:00
300,sms_0147,flood,FLOOD_062,cross_lingual_duplicate,sms,romanized_tamil,Kandy,Kadugannawa,MEDIUM,2025-05-17T07:51:00+00:00
301,sms_0019,flood,FLOOD_004,mass_report,sms,sinhala,Kandy,Kandy_City,CRITICAL,
302,call_0021,flood,FLOOD_004,mass_report,voice,sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T07:52:00+00:00
303,call_0023,flood,FLOOD_004,mass_report,voice,tamil,Kandy,Kandy_City,CRITICAL,2025-05-17T07:52:00+00:00
304,sms_0098,flood,FLOOD_043,conflicting_counts,sms,sinhala,Ratnapura,Pelmadulla,HIGH,
305,sms_0103,flood,FLOOD_043,conflicting_counts,sms,sinhala,Ratnapura,Pelmadulla,HIGH,
306,sms_0163,flood,FLOOD_070,victim_address,sms,romanized_tamil,Ratnapura,Eheliyagoda,CRITICAL,2025-05-17T07:55:00+00:00
307,call_0175,flood,FLOOD_062,cross_lingual_duplicate,voice,tamil,Kandy,Kadugannawa,MEDIUM,2025-05-17T07:56:00+00:00
308,sms_0148,flood,FLOOD_063,cross_lingual_duplicate,sms,sinhala,Ratnapura,Balangoda,CRITICAL,2025-05-17T07:56:00+00:00
309,sms_0027,flood,FLOOD_005,mass_report,sms,sinhala,Kalutara,Kalutara,CRITICAL,
310,call_0194,flood,FLOOD_071,location_unknown,voice,sinhala,Gampaha,Biyagama,CRITICAL,2025-05-17T07:57:00+00:00
311,sms_0020,flood,FLOOD_004,mass_report,sms,sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T07:58:00+00:00
312,call_0079,flood,FLOOD_018,standard,voice,tamil,Kalutara,Horana,HIGH,2025-05-17T07:58:00+00:00
313,sms_0091,flood,FLOOD_037,noise,sms,romanized_tamil,Kandy,Gampola,LOW,
314,sms_0149,flood,FLOOD_063,cross_lingual_duplicate,sms,romanized_tamil,Ratnapura,Balangoda,CRITICAL,2025-05-17T07:58:00+00:00
315,call_0178,flood,FLOOD_063,cross_lingual_duplicate,voice,tamil,Ratnapura,Balangoda,CRITICAL,2025-05-17T07:58:00+00:00
316,sms_0174,flood,FLOOD_076,minimal_message,sms,tamil,Ratnapura,Pelmadulla,LOW,2025-05-17T07:59:00+00:00
317,call_0030,flood,FLOOD_005,mass_report,voice,tamil,Kalutara,Kalutara,CRITICAL,2025-05-17T08:00:00+00:00
318,call_0108,flood,FLOOD_026,standard,voice,romanized_sinhala,Ratnapura,Kuruwita,MEDIUM,2025-05-17T08:01:00+00:00
319,call_0205,flood,FLOOD_077,minimal_message,voice,romanized_sinhala,Ratnapura,Eheliyagoda,LOW,2025-05-17T08:04:00+00:00
320,sms_0063,flood,FLOOD_020,standard,sms,tamil,Kandy,Gampola,HIGH,
321,call_0107,flood,FLOOD_026,standard,voice,romanized_sinhala,Ratnapura,Kuruwita,MEDIUM,2025-05-17T08:05:00+00:00
322,sms_0074,flood,FLOOD_026,standard,sms,sinhala,Ratnapura,Kuruwita,MEDIUM,2025-05-17T08:05:00+00:00
323,sms_0238,flood,NOISE_flood_487,noise,sms,tamil,Colombo,Mattakkuliya,MEDIUM,2025-05-17T08:05:00+00:00
324,sms_0101,flood,FLOOD_043,conflicting_counts,sms,tamil,Ratnapura,Pelmadulla,HIGH,2025-05-17T08:07:00+00:00
325,sms_0165,flood,FLOOD_071,location_unknown,sms,sinhala,Gampaha,Biyagama,CRITICAL,
326,sms_0079,flood,FLOOD_028,standard,sms,romanized_sinhala,Colombo,Kolonnawa,MEDIUM,2025-05-17T08:08:00+00:00
327,sms_0102,flood,FLOOD_043,conflicting_counts,sms,sinhala,Ratnapura,Pelmadulla,HIGH,2025-05-17T08:08:00+00:00
328,call_0111,flood,FLOOD_028,standard,voice,romanized_sinhala,Colombo,Kolonnawa,MEDIUM,2025-05-17T08:09:00+00:00
329,sms_0217,flood,NOISE_flood_466,noise,sms,romanized_tamil,Colombo,Dematagoda,MEDIUM,2025-05-17T08:10:00+00:00
330,call_0112,flood,FLOOD_028,standard,voice,sinhala,Colombo,Kolonnawa,MEDIUM,2025-05-17T08:11:00+00:00
331,call_0129,flood,FLOOD_043,conflicting_counts,voice,sinhala,Ratnapura,Pelmadulla,HIGH,2025-05-17T08:11:00+00:00
332,sms_0241,flood,NOISE_flood_490,noise,sms,tamil,Ratnapura,Ratnapura_City,MEDIUM,2025-05-17T08:11:00+00:00
333,sms_0047,flood,FLOOD_014,standard,sms,sinhala,Gampaha,Wattala,HIGH,2025-05-17T08:12:00+00:00
334,sms_0048,flood,FLOOD_014,standard,sms,sinhala,Gampaha,Wattala,HIGH,
335,sms_0010,flood,FLOOD_002,mass_report,sms,sinhala,Colombo,Kaduwela,CRITICAL,2025-05-17T08:14:00+00:00
336,call_0022,flood,FLOOD_004,mass_report,voice,romanized_sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T08:14:00+00:00
337,call_0113,flood,FLOOD_028,standard,voice,sinhala,Colombo,Kolonnawa,MEDIUM,2025-05-17T08:14:00+00:00
338,sms_0021,flood,FLOOD_004,mass_report,sms,romanized_tamil,Kandy,Kandy_City,CRITICAL,2025-05-17T08:16:00+00:00
339,call_0085,flood,FLOOD_020,standard,voice,sinhala,Kandy,Gampola,HIGH,2025-05-17T08:17:00+00:00
340,call_0207,flood,FLOOD_078,minimal_message,voice,tamil,Kalutara,Kalutara,HIGH,2025-05-17T08:17:00+00:00
341,sms_0250,flood,NOISE_flood_499,noise,sms,sinhala,Ratnapura,Eheliyagoda,MEDIUM,2025-05-17T08:18:00+00:00
342,sms_0156,flood,FLOOD_067,victim_address,sms,romanized_sinhala,Colombo,Hanwella,CRITICAL,
343,call_0206,flood,FLOOD_077,minimal_message,voice,romanized_sinhala,Ratnapura,Eheliyagoda,LOW,2025-05-17T08:19:00+00:00
344,call_0066,flood,FLOOD_014,standard,voice,sinhala,Gampaha,Wattala,HIGH,2025-05-17T08:20:00+00:00
345,sms_0099,flood,FLOOD_043,conflicting_counts,sms,sinhala,Ratnapura,Pelmadulla,HIGH,2025-05-17T08:20:00+00:00
346,sms_0175,flood,FLOOD_078,minimal_message,sms,romanized_sinhala,Kalutara,Kalutara,HIGH,2025-05-17T08:20:00+00:00
347,call_0109,flood,FLOOD_026,standard,voice,sinhala,Ratnapura,Kuruwita,MEDIUM,2025-05-17T08:21:00+00:00
348,sms_0199,flood,NOISE_flood_448,noise,sms,romanized_tamil,Colombo,Battaramulla,LOW,
349,call_0185,flood,FLOOD_066,victim_address,voice,romanized_tamil,Colombo,Grandpass,CRITICAL,2025-05-17T08:22:00+00:00
350,call_0087,flood,FLOOD_020,standard,voice,sinhala,Kandy,Gampola,HIGH,2025-05-17T08:23:00+00:00
351,sms_0064,flood,FLOOD_020,standard,sms,romanized_sinhala,Kandy,Gampola,HIGH,
352,call_0162,flood,FLOOD_058,third_party,voice,romanized_tamil,Kalutara,Beruwala,HIGH,2025-05-17T08:25:00+00:00
353,call_0164,flood,FLOOD_058,third_party,voice,tamil,Kalutara,Beruwala,HIGH,2025-05-17T08:26:00+00:00
354,call_0068,flood,FLOOD_015,standard,voice,tamil,Gampaha,Negombo,HIGH,2025-05-17T08:27:00+00:00
355,call_0187,flood,FLOOD_067,victim_address,voice,romanized_sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T08:28:00+00:00
356,call_0065,flood,FLOOD_014,standard,voice,tamil,Gampaha,Wattala,HIGH,2025-05-17T08:29:00+00:00
357,call_0186,flood,FLOOD_066,victim_address,voice,sinhala,Colombo,Grandpass,CRITICAL,2025-05-17T08:29:00+00:00
358,sms_0203,flood,NOISE_flood_452,noise,sms,romanized_tamil,Kalutara,Panadura,MEDIUM,
359,call_0184,flood,FLOOD_066,victim_address,voice,tamil,Colombo,Grandpass,CRITICAL,2025-05-17T08:33:00+00:00
360,sms_0028,flood,FLOOD_005,mass_report,sms,romanized_sinhala,Kalutara,Kalutara,CRITICAL,
361,sms_0049,flood,FLOOD_015,standard,sms,romanized_sinhala,Gampaha,Negombo,HIGH,2025-05-17T08:35:00+00:00
362,sms_0140,flood,FLOOD_058,third_party,sms,sinhala,Kalutara,Beruwala,HIGH,2025-05-17T08:35:00+00:00
363,sms_0158,flood,FLOOD_067,victim_address,sms,tamil,Colombo,Hanwella,CRITICAL,
364,sms_0176,flood,FLOOD_078,minimal_message,sms,romanized_sinhala,Kalutara,Kalutara,HIGH,
365,call_0067,flood,FLOOD_014,standard,voice,romanized_sinhala,Gampaha,Wattala,HIGH,2025-05-17T08:38:00+00:00
366,call_0086,flood,FLOOD_020,standard,voice,romanized_tamil,Kandy,Gampola,HIGH,2025-05-17T08:39:00+00:00
367,call_0249,flood,NOISE_flood_446,noise,voice,sinhala,Kalutara,Kalutara,MEDIUM,2025-05-17T08:39:00+00:00
368,call_0188,flood,FLOOD_067,victim_address,voice,romanized_sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T08:40:00+00:00
369,sms_0244,flood,NOISE_flood_493,noise,sms,romanized_tamil,Kandy,Peradeniya,MEDIUM,2025-05-17T08:41:00+00:00
370,call_0069,flood,FLOOD_015,standard,voice,romanized_sinhala,Gampaha,Negombo,HIGH,2025-05-17T08:42:00+00:00
371,call_0089,flood,FLOOD_020,standard,voice,tamil,Kandy,Gampola,HIGH,2025-05-17T08:42:00+00:00
372,sms_0050,flood,FLOOD_015,standard,sms,tamil,Gampaha,Negombo,HIGH,2025-05-17T08:43:00+00:00
373,call_0163,flood,FLOOD_058,third_party,voice,tamil,Kalutara,Beruwala,HIGH,2025-05-17T08:44:00+00:00
374,call_0167,flood,FLOOD_059,third_party,voice,romanized_sinhala,Colombo,Battaramulla,MEDIUM,2025-05-17T08:46:00+00:00
375,call_0070,flood,FLOOD_015,standard,voice,romanized_tamil,Gampaha,Negombo,HIGH,2025-05-17T08:47:00+00:00
376,sms_0157,flood,FLOOD_067,victim_address,sms,romanized_sinhala,Colombo,Hanwella,CRITICAL,2025-05-17T08:47:00+00:00
377,call_0208,flood,FLOOD_078,minimal_message,voice,sinhala,Kalutara,Kalutara,HIGH,2025-05-17T08:47:00+00:00
378,sms_0224,flood,NOISE_flood_473,noise,sms,tamil,Colombo,Mattakkuliya,MEDIUM,2025-05-17T08:47:00+00:00
379,sms_0065,flood,FLOOD_020,standard,sms,romanized_tamil,Kandy,Gampola,HIGH,2025-05-17T08:48:00+00:00
380,sms_0077,flood,FLOOD_027,standard,sms,sinhala,Kalutara,Bandaragama,MEDIUM,2025-05-17T08:50:00+00:00
381,sms_0075,flood,FLOOD_027,standard,sms,sinhala,Kalutara,Bandaragama,MEDIUM,2025-05-17T08:51:00+00:00
382,call_0088,flood,FLOOD_020,standard,voice,romanized_sinhala,Kandy,Gampola,HIGH,2025-05-17T08:53:00+00:00
383,sms_0155,flood,FLOOD_066,victim_address,sms,romanized_sinhala,Colombo,Grandpass,CRITICAL,
384,sms_0076,flood,FLOOD_027,standard,sms,sinhala,Kalutara,Bandaragama,MEDIUM,2025-05-17T08:54:00+00:00
385,sms_0139,flood,FLOOD_058,third_party,sms,romanized_tamil,Kalutara,Beruwala,HIGH,2025-05-17T08:55:00+00:00
386,call_0074,flood,FLOOD_017,standard,voice,sinhala,Kalutara,Beruwala,HIGH,2025-05-17T08:57:00+00:00
387,call_0165,flood,FLOOD_058,third_party,voice,romanized_sinhala,Kalutara,Beruwala,HIGH,2025-05-17T08:59:00+00:00
388,call_0211,flood,FLOOD_080,minimal_message,voice,sinhala,Colombo,Kaduwela,MEDIUM,2025-05-17T09:00:00+00:00
389,call_0075,flood,FLOOD_017,standard,voice,sinhala,Kalutara,Beruwala,HIGH,2025-05-17T09:01:00+00:00
390,sms_0141,flood,FLOOD_059,third_party,sms,tamil,Colombo,Battaramulla,MEDIUM,2025-05-17T09:02:00+00:00
391,sms_0069,flood,FLOOD_023,standard,sms,sinhala,Kandy,Kandy_City,MEDIUM,2025-05-17T09:03:00+00:00
392,sms_0078,flood,FLOOD_027,standard,sms,tamil,Kalutara,Bandaragama,MEDIUM,2025-05-17T09:03:00+00:00
393,sms_0248,flood,NOISE_flood_497,noise,sms,tamil,Gampaha,Ja-Ela,LOW,
394,sms_0142,flood,FLOOD_059,third_party,sms,romanized_sinhala,Colombo,Battaramulla,MEDIUM,
395,sms_0143,flood,FLOOD_059,third_party,sms,sinhala,Colombo,Battaramulla,MEDIUM,
396,sms_0056,flood,FLOOD_017,standard,sms,romanized_sinhala,Kalutara,Beruwala,HIGH,2025-05-17T09:09:00+00:00
397,sms_0057,flood,FLOOD_017,standard,sms,tamil,Kalutara,Beruwala,HIGH,2025-05-17T09:09:00+00:00
398,call_0100,flood,FLOOD_023,standard,voice,tamil,Kandy,Kandy_City,MEDIUM,2025-05-17T09:12:00+00:00
399,call_0134,flood,FLOOD_046,long_gap,voice,romanized_sinhala,Ratnapura,Balangoda,HIGH,2025-05-17T09:12:00+00:00
400,call_0212,flood,FLOOD_080,minimal_message,voice,romanized_tamil,Colombo,Kaduwela,MEDIUM,2025-05-17T09:13:00+00:00
401,sms_0207,flood,NOISE_flood_456,noise,sms,tamil,Colombo,Dematagoda,MEDIUM,
402,call_0024,flood,FLOOD_004,mass_report,voice,sinhala,Kandy,Kandy_City,CRITICAL,2025-05-17T09:14:00+00:00
403,call_0110,flood,FLOOD_027,standard,voice,sinhala,Kalutara,Bandaragama,MEDIUM,2025-05-17T09:15:00+00:00
404,sms_0058,flood,FLOOD_017,standard,sms,tamil,Kalutara,Beruwala,HIGH,
405,sms_0059,flood,FLOOD_017,standard,sms,sinhala,Kalutara,Beruwala,HIGH,2025-05-17T09:21:00+00:00
406,call_0166,flood,FLOOD_059,third_party,voice,romanized_tamil,Colombo,Battaramulla,MEDIUM,2025-05-17T09:23:00+00:00
407,call_0025,flood,FLOOD_004,mass_report,voice,romanized_tamil,Kandy,Kandy_City,CRITICAL,2025-05-17T09:24:00+00:00
408,call_0099,flood,FLOOD_023,standard,voice,sinhala,Kandy,Kandy_City,MEDIUM,2025-05-17T09:25:00+00:00
409,call_0076,flood,FLOOD_017,standard,voice,romanized_tamil,Kalutara,Beruwala,HIGH,2025-05-17T09:32:00+00:00
410,call_0101,flood,FLOOD_023,standard,voice,tamil,Kandy,Kandy_City,MEDIUM,2025-05-17T09:32:00+00:00
411,sms_0111,flood,FLOOD_045,long_gap,sms,tamil,Kalutara,Beruwala,HIGH,2025-05-17T09:35:00+00:00
412,sms_0110,flood,FLOOD_045,long_gap,sms,sinhala,Kalutara,Beruwala,HIGH,2025-05-17T09:41:00+00:00
413,call_0090,flood,FLOOD_021,standard,voice,romanized_sinhala,Gampaha,Kadana,MEDIUM,2025-05-17T09:44:00+00:00
414,sms_0109,flood,FLOOD_045,long_gap,sms,romanized_sinhala,Kalutara,Beruwala,HIGH,2025-05-17T09:45:00+00:00
415,sms_0066,flood,FLOOD_021,standard,sms,romanized_sinhala,Gampaha,Kadana,MEDIUM,2025-05-17T09:57:00+00:00
